x,y,z
-1.620757258696895464e+00,5.847134196701631037e-02,-2.744876737441159342e+00
-5.311359260257444426e-01,-8.062529662642714534e-01,-3.872756471435309322e+00
-1.473053336312027728e+00,2.056097120689653612e-01,-4.421442573985817859e+00
-3.834320036408767063e-01,-6.591145961623223748e-01,-5.549322307979967839e+00
1.058126966838563332e+00,-7.354013057258785846e-01,-2.017624361678033829e+00
2.147748299509714354e+00,-1.600125613957166237e+00,-3.145504095672183809e+00
1.205830889223431068e+00,-5.882629356239295060e-01,-3.694190198222692345e+00
2.295452221894581868e+00,-1.452987243855217159e+00,-4.822069932216842325e+00
-1.171269997055348622e-01,5.847134196701631037e-02,-2.744876737441159342e+00
9.724943329656161595e-01,-8.062529662642714534e-01,-3.872756471435309322e+00
3.057692267933281860e-02,2.056097120689653612e-01,-4.421442573985817859e+00
1.120198255350483896e+00,-6.591145961623223748e-01,-5.549322307979967839e+00
7.513797196057856453e-01,-9.300061760316802317e-02,-2.426267095491721815e+00
1.841001052276936667e+00,-9.577249258344557870e-01,-3.554146829485872239e+00
8.990836419906533816e-01,5.413775249878102769e-02,-4.102832932036379887e+00
1.988704974661804403e+00,-8.105865557325067083e-01,-5.230712666030529867e+00
-4.238742469383125488e-01,7.008720300897268718e-01,-3.153519471254847328e+00
6.657470857328384728e-01,-1.638522781415608920e-01,-4.281399205248997752e+00
-2.761703245534448681e-01,8.480104001916759504e-01,-4.830085307799505401e+00
8.134510081177062091e-01,-1.671390803961181337e-02,-5.957965041793655381e+00
2.255009978597146247e+00,-9.300061760316802317e-02,-2.426267095491721815e+00
3.344631311268297047e+00,-9.577249258344557870e-01,-3.554146829485872239e+00
2.402713900982013762e+00,5.413775249878102769e-02,-4.102832932036379887e+00
3.492335233653165005e+00,-8.105865557325067083e-01,-5.230712666030529867e+00
1.079756012053048053e+00,7.008720300897268718e-01,-3.153519471254847328e+00
2.169377344724199297e+00,-1.638522781415608920e-01,-4.281399205248997752e+00
1.227459934437915789e+00,8.480104001916759504e-01,-4.830085307799505401e+00
2.317081267109066811e+00,-1.671390803961181337e-02,-5.957965041793655381e+00
-8.285076714088007721e-01,5.596488907578599514e-01,-5.126842278540116871e-01
2.611136612623502495e-01,-3.050754174734278124e-01,-1.640563961848161778e+00
-6.808037490239331468e-01,7.067872608598090300e-01,-2.189250064398669871e+00
4.088175836472178748e-01,-1.579370473714787337e-01,-3.317129798392819851e+00
-2.003761637952898855e+00,1.353521538450754846e+00,-1.239936603617137312e+00
-9.141403052817478336e-01,4.887972302194670826e-01,-2.367816337611287736e+00
-1.856057715568031119e+00,1.500659908552703925e+00,-2.916502440161795384e+00
-7.664363828968800973e-01,6.359356003214161612e-01,-4.044382174155945364e+00
6.751225875825598299e-01,5.596488907578599514e-01,-5.126842278540116871e-01
1.764743920253710741e+00,-3.050754174734278124e-01,-1.640563961848161778e+00
8.228265099674274552e-01,7.067872608598090300e-01,-2.189250064398669871e+00
1.912447842638578477e+00,-1.579370473714787337e-01,-3.317129798392819851e+00
-5.001313789615383643e-01,1.353521538450754846e+00,-1.239936603617137312e+00
5.894899537096126574e-01,4.887972302194670826e-01,-2.367816337611287736e+00
-3.524274565766706835e-01,1.500659908552703925e+00,-2.916502440161795384e+00
7.371938760944802826e-01,6.359356003214161612e-01,-4.044382174155945364e+00
3.683753403497821433e-01,1.202049578880570513e+00,-9.213269616676995621e-01
1.457996673020933276e+00,3.373252706492827491e-01,-2.049206695661849764e+00
5.160792627346497685e-01,1.349187948982519591e+00,-2.597892798212357857e+00
1.605700595405800790e+00,4.844636407512318277e-01,-3.725772532206508281e+00
-8.068786261943160509e-01,1.995922226573465519e+00,-1.648579337430825298e+00
2.827427064768349707e-01,1.131197918342177644e+00,-2.776459071424975278e+00
-6.591747038094484257e-01,2.143060596675414597e+00,-3.325145173975483814e+00
4.304466288617025960e-01,1.278336288444126723e+00,-4.453024907969633794e+00
1.872005599341142634e+00,1.202049578880570513e+00,-9.213269616676995621e-01
2.961626932012293878e+00,3.373252706492827491e-01,-2.049206695661849764e+00
2.019709521726010149e+00,1.349187948982519591e+00,-2.597892798212357857e+00
3.109330854397160948e+00,4.844636407512318277e-01,-3.725772532206508281e+00
6.967516327970444401e-01,1.995922226573465519e+00,-1.648579337430825298e+00
1.786372965468195462e+00,1.131197918342177644e+00,-2.776459071424975278e+00
